airport_id;airport_name;airport_latitude;airport_longitude;airport_city;airport_country_iso;airport_continent_iso
TLS;Toulouse-Blagnac Airport;43,629101;1,36382;Toulouse/Blagnac;FR;EU
PUF;Pau Pyrénées Airport;43,380001068115234;-0,4186109900474548;Pau/Pyrénées (Uzein);FR;EU
LDE;Tarbes-Lourdes-Pyrénées Airport;43,1786994934082;-0,0064389999024569;Tarbes/Lourdes/Pyrénées;FR;EU
ANG;Angoulême-Brie-Champniers Airport;45,729198;0,221456;Angoulême/Brie/Champniers;FR;EU
PGX;Périgueux-Bassillac Airport;45,19810104370117;0,815555989742279;Périgueux/Bassillac;FR;EU
BIQ;Biarritz-Anglet-Bayonne Airport;43,4683333;-1,5311111;Biarritz/Anglet/Bayonne;FR;EU
ZAO;Aérodrome de Cahors-Lalbenque;44,351398;1,47528;Cahors/Lalbenque;FR;EU
LBI;Albi-Le Séquestre Airport;43,91389846801758;2,1130599975585938;Albi/Le Séquestre;FR;EU
DCM;Castres-Mazamet Airport;43,55630111694336;2,289180040359497;Castres/Mazamet;FR;EU
RDZ;Rodez-Marcillac Airport;44,407901763916016;2,4826700687408447;Rodez/Marcillac;FR;EU
RYN;Royan-Médis Airport;45,62810134887695;-0,9725000262260436;Royan/Médis;FR;EU
RCO;Rochefort-Saint-Agnant (BA 721) Airport;45,88779830932617;-0,9830560088157654;Rochefort/Saint-Agnant;FR;EU
BIC;Aérodrome de Belle Île;47,325256;-3,201255;Bangor;FR;EU
OUI;Ouessant Airport;48,4632;-5,06358;Ushant;FR;EU
IDY;Île d'Yeu Airport;46,71860122680664;-2,3911099433898926;Île d'Yeu;FR;EU
CMR;Colmar-Houssen Airport;48,109901428222656;7,359010219573975;Colmar/Houssen;FR;EU
DLE;Dole-Tavaux Airport;47,042686;5,435063;Dole/Tavaux;FR;EU
MVV;Megève Altiport;45,823005;6,649406;Megève;FR;EU
OBS;Aubenas-Ardèche Méridional Airport;44,544203;4,372192;Aubenas/Ardèche Méridional;FR;EU
LPY;Le Puy-Loudes Airfield;45,0807;3,76289;Le Puy/Loudes;FR;EU
AHZ;Altiport L'Alpe d'Huez - Henri GIRAUD;45,088299;6,08472;L'Alpe d'Huez;FR;EU
ETZ;Metz-Nancy-Lorraine Airport;48,9821014404;6,25131988525;Metz / Nancy;FR;EU
ANE;Angers-Loire Airport;47,560299;-0,312222;TFFR;FR;EU
BIA;Bastia-Poretta Airport;42,55270004272461;9,48373031616211;Bastia/Poretta;FR;EU
CLY;Calvi-Sainte-Catherine Airport;42,5244444;8,7930556;Calvi/Sainte-Catherine;FR;EU
FSC;Figari Sud-Corse Airport;41,500599;9,09778;Figari Sud-Corse;FR;EU
AJA;Ajaccio-Napoléon Bonaparte Airport;41,92359924316406;8,8029203414917;Ajaccio/Napoléon Bonaparte;FR;EU
PRP;Propriano Airport;41,66059875488281;8,889749526977539;Propriano;FR;EU
SOZ;Solenzara (BA 126) Air Base;41,92440032958984;9,406000137329102;Solenzara;FR;EU
MFX;Méribel Altiport;45,407003;6,577942;;FR;EU
AUF;Auxerre-Branches Airport;47,85020065307617;3,497109889984131;Auxerre/Branches;FR;EU
CMF;Chambéry-Savoie Airport;45,63809967041016;5,880229949951172;Chambéry/Aix-les-Bains;FR;EU
CFE;Clermont-Ferrand Auvergne Airport;45,7867012024;3,1691699028;Clermont-Ferrand/Auvergne;FR;EU
BOU;Bourges Airport;47,058101654052734;2,3702800273895264;Bourges;FR;EU
CVF;Courchevel Airport;45,396702;6,63472;Courchevel;FR;EU
LYS;Lyon Saint-Exupéry Airport;45,725556;5,081111;Lyon;FR;EU
