station_id;station_name;station_latitud;station_longitud
23004;Pontevedra;42,421969;-8,635546
23008;Vilagarcia de Arousa;42,602189;-8,762523
14200;Mataporquera;42,870901;-4,165406
14107;Osorno;42,415077;-4,357367
14104;Fromista;42,2649;-4,402433
3410;ELX AV;38,24551;-0,76675
69110;Gandia;38,9702805;-0,1797722
69104;Cullera;39,1778305;-0,2632361
92102;Toledo;39,862272;-4,011244
31416;Cerceda-Meirama;43,2078791;-8,4467723
23021;Padron-Barbanza;42,738967;-8,652614
8224;Redondela Av;42,286005;-8,619402
23002;Arcade;42,340549;-8,611178
99161;Pontevedra-Turistico;42,421969;-8,635546
99143;A Coruna-Turistico;43,352761;-8,409755
99159;Santiago-Turistico;42,870842;-8,544697
55020;Algeciras;36,126831;-5,451108
55018;San Roque-La Linea;36,214482;-5,432399
55007;Ronda;36,748401;-5,16197
99117;Ourense Turistico;42,350389;-7,872777
61015;Archena-Fortuna;38,13132;-1,236037
60200;Aranjuez;40,0348585;-3,6182315
61012;Cieza;38,246609;-1,421702
61005;Hellin;38,508776;-1,688437
6006;Lorca Sutullena;37,6725714;-1,6959002
6002;Alhama de Murcia;37,8493837;-1,4145055
6003;Totana;37,7635101;-1,4956127
10610;Valladolid-Universidad;41,660257;-4,704037
10602;Cabezon del Pisuerga;41,737276;-4,651294
10605;Duenyas;41,87048;-4,541216
11000;Venta de Banyos;41,91736;-4,495844
15001;Grijota;42,049225;-4,583954
15003;Becerril;42,104706;-4,64712
15004;Paredes de Nava;42,150694;-4,697599
15007;Villada;42,245238;-4,970589
15008;Grajal;42,323246;-5,013381
15012;El Burgo Ranero;42,425753;-5,208592
15015;Palanquinos;42,460716;-5,497584
15106;La Robla;42,804454;-5,626255
15108;La Pola de Gordon;42,854099;-5,674524
15109;Santa Lucia;42,87515;-5,639613
15112;Villamanin;42,93671;-5,657637
15113;Busdongo;42,984495;-5,705391
15116;Linares-Congostinas;43,101743;-5,772162
15401;Calzada de Asturias;43,534132;-5,70981
15218;Oviedo-Llamaquique;43,355864;-5,855475
15200;Ujo;43,20702;-5,791496
15120;Campomanes;43,11112;-5,814196
15118;Puente de Los Fierros;43,07152;-5,769496
23000;Redondela-Picota;42,286866;-8,607118
23009;Catoira;42,672166;-8,725291
23010;Pontecesures;42,722985;-8,65213
23011;Padron;42,738967;-8,652614
23018;Pontevedra-Universidad;42,438265;-8,630121
31415;Ordes;43,037544;-8,448447
31411;Uxes;43,297374;-8,444404
23005;Portela;42,517801;-8,654609
23013;Osebe;42,825298;-8,61584
23001;Cesantes;42,310258;-8,616541
20002;Quintana-Raneros;42,550085;-5,637789
20008;Villavante;42,46458;-5,838914
20005;Veguellina;42,4335;-5,88756
20006;Barrientos;42,414301;-5,963988
20007;Nistal;42,424462;-6,00803
20102;Vega-Magaz;42,55376;-6,068267
20103;Porqueros;42,598935;-6,108238
20104;Branyuelas;42,632631;-6,201002
20106;La Granja de San Vicente;42,614874;-6,282495
20109;Torre del Bierzo;42,595578;-6,329083
20113;San Miguel de Las Duenyas;42,586392;-6,523776
20203;Villadepalos;42,53686;-6,751109
20204;Toral de Los Vados;42,541052;-6,776703
20207;Covas;42,475326;-6,830878
20208;Querenyo;42,420704;-6,829486
20210;Sobradelo;42,414859;-6,911951
20212;Vilamartin de Valdeorras;42,411829;-7,061185
20214;Montefurado;42,39402;-7,1984
20218;A Pobra Do Brollon;42,533682;-7,400088
22001;Canabal;42,482882;-7,587733
22002;Areas;42,457799;-7,62879
22003;San Estevo Do Sil;42,426921;-7,661676
22004;San Pedro Do Sil;42,441353;-7,70412
22005;Os Peares;42,451439;-7,735523
22006;Barra de Minyo;42,401095;-7,802567
22102;Ribadavia;42,2931;-8,139261
22103;Filgueira;42,219917;-8,184788
22104;Frieira;42,154882;-8,201036
22105;Pousa-Crecente;42,136705;-8,234889
22106;Arbo;42,107058;-8,300247
22107;Sela;42,092092;-8,355998
22108;As Neves;42,075462;-8,420074
22109;Salvaterra de Minyo;42,08164;-8,495141
22110;Caldelas;42,055813;-8,566343
20410;Elvinya-Universidade;43,335222;-8,413061
20404;O Burgo Santiago;43,317841;-8,36875
20403;Cambre;43,290502;-8,352104
20402;Cecebre;43,287913;-8,307767
20320;Oza Dos Rios;43,21877;-8,187111
20319;Cesuras;43,173073;-8,2005
20318;Pinyoi;43,127922;-8,163498
20317;Curtis;43,127232;-8,143155
20316;Teixeiro;43,141411;-8,03769
20314;Guitiriz;43,179058;-7,895039
20313;Parga;43,163644;-7,837383
20312;Baamonde;43,173405;-7,756128
20310;Rabade;43,121378;-7,624835
20306;Pedrelo-Celtigos;42,832934;-7,393329
21008;Perlio;43,472309;-8,174837
21005;Cabanas-Areal;43,415585;-8,168828
21003;Perbes;43,378197;-8,201106
21002;Minyo;43,349431;-8,207313
31308;Lalin;42,63253;-8,142715
31306;O Irixo;42,519719;-8,105174
31304;O Carballinyo;42,43134;-8,068874
31303;A Friela-Maside;42,411401;-8,028967
51401;Puerto Real;36,5309277;-6,1861944
51205;Jerez Aeropuerto;36,751147;-6,066664
51203;Lebrija;36,9299735;-6,0864165
51200;Utrera;37,1845444;-5,7907966
51103;Dos Hermanas;37,2872;-5,9235192
51110;Sevilla-Virgen del Rocio;37,3628;-5,9760111
51100;Sevilla-San Bernardo;37,3775194;-5,9796
3100;Jaen;37,779827;-3,790798
50407;Villa del Rio;37,981331;-4,283788
50504;Posadas;37,803986;-5,106325
50506;Palma del Rio;37,718081;-5,29276
50507;Penyaflor;37,707502;-5,341609
50600;Lora del Rio;37,6613027;-5,5295472
51202;Las Cabezas de San Juan;37,0193453;-5,9465554
51409;Cadiz-Estadio;36,5028972;-6,2720638
51404;Segunda Aguada;36,5134777;-6,2770083
43021;San Juan del Puerto;37,311898;-6,841076
43015;Niebla;37,3587619;-6,6812578
43009;Escacena;37,397812;-6,39198
43008;Carrion de Los Cespedes;37,368955;-6,335088
43005;Benacazon;37,3567611;-6,2082805
43012;Villarrasa;37,386999;-6,598819
1007;Osuna;37,233899;-5,115026
51111;Bellavista;37,3214916;-5,9641861
1003;Arahal;37,268081;-5,548514
1005;Marchena;37,334282;-5,425519
55015;Jimena de La Frontera;36,4242;-5,434113
55013;Gaucin;36,540372;-5,386825
