route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id                                                                                                                                                                                                                                                                      
8010071801GL026,2022-08-152022-08-15005631,0056312022-08-15,,00563,,,                                                                                                                                                                                                                                                                                         
8010071801GL026,2022-08-162022-12-10005631,0056312022-08-16,,00563,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-07-282022-12-10006001,0060012022-07-28,,00600,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-07-282022-08-14006011,0060112022-07-28,,00601,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-08-162022-10-11006011,0060112022-08-16,,00601,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-10-132022-10-21006011,0060112022-10-13,,00601,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-07-282022-10-23006021,0060212022-07-28,,00602,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-10-242022-12-10006021,0060212022-10-24,,00602,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-07-282022-12-10006031,0060312022-07-28,,00603,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-07-282022-10-23006051,0060512022-07-28,,00605,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-07-282022-12-10006061,0060612022-07-28,,00606,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-09-022022-10-21006081,0060812022-09-02,,00608,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-07-282022-10-23006091,0060912022-07-28,,00609,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-10-242022-12-10006091,0060912022-10-24,,00609,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-07-282022-10-23006092,0060922022-07-28,,00609,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-07-282022-12-10006101,0061012022-07-28,,00610,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-08-282022-10-23006121,0061212022-08-28,,00612,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-07-282022-07-31006131,0061312022-07-28,,00613,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-08-262022-10-23006131,0061312022-08-26,,00613,,,                                                                                                                                                                                                                                                                                         
2230871801GL023,2022-07-282022-09-11006211,0062112022-07-28,,00621,,,                                                                                                                                                                                                                                                                                         
2210071801GL023,2022-07-282022-09-11006212,0062122022-07-28,,00621,,,                                                                                                                                                                                                                                                                                         
2230871801GL023,2022-07-282022-09-11006213,0062132022-07-28,,00621,,,                                                                                                                                                                                                                                                                                         
1510071801GL023,2022-07-282022-09-11006214,0062142022-07-28,,00621,,,                                                                                                                                                                                                                                                                                         
7180122308GL023,2022-07-282022-09-11006221,0062212022-07-28,,00622,,,                                                                                                                                                                                                                                                                                         
7180122100GL023,2022-07-282022-09-11006222,0062222022-07-28,,00622,,,                                                                                                                                                                                                                                                                                         
7180122308GL023,2022-07-282022-09-11006223,0062232022-07-28,,00622,,,                                                                                                                                                                                                                                                                                         
7180115100GL023,2022-07-282022-09-11006224,0062242022-07-28,,00622,,,                                                                                                                                                                                                                                                                                         
7180104040GL023,2022-07-282022-09-11006225,0062252022-07-28,,00622,,,                                                                                                                                                                                                                                                                                         
1120815100GL023,2022-07-282022-09-11006226,0062262022-07-28,,00622,,,                                                                                                                                                                                                                                                                                         
3141271801GL023,2022-07-282022-09-11006251,0062512022-07-28,,00625,,,                                                                                                                                                                                                                                                                                         
2210071801GL023,2022-07-282022-09-11006252,0062522022-07-28,,00625,,,                                                                                                                                                                                                                                                                                         
3141271801GL023,2022-07-282022-09-11006253,0062532022-07-28,,00625,,,                                                                                                                                                                                                                                                                                         
1510071801GL023,2022-07-282022-09-11006254,0062542022-07-28,,00625,,,                                                                                                                                                                                                                                                                                         
7180131412GL023,2022-07-282022-09-11006261,0062612022-07-28,,00626,,,                                                                                                                                                                                                                                                                                         
7180122100GL023,2022-07-282022-09-11006262,0062622022-07-28,,00626,,,                                                                                                                                                                                                                                                                                         
